resolution_stategy,dep_key,tree_accurarcy,overlap_tree,contains_bundled,nmb_npm_deps,contains_optionals_and_peers
dep_reach,reformat-markdown-table-cn@1.2.0,1.0,1.0,False,1,False
dep_reuse,reformat-markdown-table-cn@1.2.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,reformat-markdown-table-cn@1.2.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,reformat-markdown-table-cn@1.2.0,1.0,1.0,False,1,False
dep_reach,trayballoon@2.0.0,1.0,1.0,False,101,False
dep_reuse,trayballoon@2.0.0,1.0,1.0,False,101,False
dep_reach_plus_bundled_plus_peer,trayballoon@2.0.0,1.0,1.0,False,101,False
dep_reuse_plus_bundled_plus_peer,trayballoon@2.0.0,1.0,1.0,False,101,False
dep_reach,audiosurfer@1.3.1,1.0,1.0,False,10,False
dep_reuse,audiosurfer@1.3.1,1.0,1.0,False,10,False
dep_reach_plus_bundled_plus_peer,audiosurfer@1.3.1,1.0,1.0,False,10,False
dep_reuse_plus_bundled_plus_peer,audiosurfer@1.3.1,1.0,1.0,False,10,False
dep_reach,@antstudio/antsui@0.8.32,1.0,1.0,False,10,True
dep_reuse,@antstudio/antsui@0.8.32,1.0,1.0,False,10,True
dep_reach_plus_bundled_plus_peer,@antstudio/antsui@0.8.32,1.0,1.0,False,10,True
dep_reuse_plus_bundled_plus_peer,@antstudio/antsui@0.8.32,1.0,1.0,False,10,True
dep_reach,@wjd-cli-dev/log@0.0.21,0.8571428571428571,0.7317073170731707,False,26,False
dep_reuse,@wjd-cli-dev/log@0.0.21,1.0,1.0,False,26,False
dep_reach_plus_bundled_plus_peer,@wjd-cli-dev/log@0.0.21,0.8571428571428571,0.7317073170731707,False,26,False
dep_reuse_plus_bundled_plus_peer,@wjd-cli-dev/log@0.0.21,1.0,1.0,False,26,False
dep_reach,simplepara@1.0.0,1.0,1.0,False,1,False
dep_reuse,simplepara@1.0.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,simplepara@1.0.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,simplepara@1.0.0,1.0,1.0,False,1,False
dep_reach,mtn-cli@1.3.5,0.9795918367346939,0.96,False,33,False
dep_reuse,mtn-cli@1.3.5,1.0,1.0,False,33,False
